Bus Num,Bus Name,Sub ID,Sub Name,Sub Num
66476,SYRACUSE,3349560051,Syracuse,349560051
14108,FOUCHO21,3337409370,Cholla,337409370
11093,LUNA,3340395516,Luna,340395516
14107,FOUCHO11,3337409370,Cholla,337409370
10292,SAN_JUAN,3337422748,San Juan 345,337422748
67808,LIMBER,No idea,Limber,52000264
11038,CALIENTE,3337408489,Caliente,337408489
11017,ARROYO,3337406525,Arroyo,337406525
79064,SHIPROCK,3337423302,Shiprock,337423302
65260,CAMP WIL,3337408558,Camp Williams,337408558
66080,NINETY S,3337405781,Ninetieth South,337405781
64061,IDAHO-NV,30004262,Idaho-Nevada,30004262
65259,CAMPSVC,3337408558,Camp Williams,337408558
66510,TERMINAL,3337428845,Terminal,337428845
70598,PAWNEE,3337420447,Pawnee,337420447
65193,BONANZA,3337407771,Bonanza,337407771
79060,SANJN PS,3337422748,San Juan 345,337422748
65945,MIDVALLY,3349559622,Midvalley,349559622
66133,OQUIRRH,3349559671,Oquirrh,349559671
14101,FOURCORN,3337412567,Four Corners (AZPS),337412567
60190,KINPORT,3337416029,Kinport,337416029
73012,AULT,3337406696,Ault,337406696
67790,POPULUS,3365669813,Populus,365669813
40901,ROSS,3337422285,J.D. Ross,337422285
14103,PRECHCYN,3337421263,Preacher Canyon,337421263
79049,MONTROSE,3337418594,Montrose,337418594
65511,LAKESIDE,3337416343,Lake Side Power Plant,337416343
70624,MIS_SITE,3337417460,Manchief Power Station,337417460
16123,PINSOU11,3337431420,Vail Generating Station,337431420
16119,SPRVAI13,3337423972,Springerville,337423972
16117,SPRVAI11,3337413956,Greenlee,337413956
19315,PEACOCK,30004265,Peacock,30004265
40997,CHISNO31,,,
40998,CHISNO41,,,
67792,BORPOP21,3337407809,Borah,337407809
60005,ADEL TAP,3337405876,Adelaide Tap,337405876
60060,BORAH,3337407809,Borah,337407809
40993,SNOHOMS3,3337423568,Snohomish,337423568
60006,ADELAIDE,3337405875,Adelaide,337405875
40994,SNOHOMS4,3337423568,Snohomish,337423568
18002,HA PS,3337414364,Harry Allen,337414364
16118,SPRVAI12,3337423972,Springerville,337423972
16109,WINCHSTR,3337432671,Winchester,337432671
16100,CORONADO,3337410112,Coronado,337410112
79036,GRANDJCT,3337413764,Grand Junction (UTE),337413764
67791,BORPOP11,3337407809,Borah,337407809
17005,BICKNELL,3337407401,Bicknell,337407401
65665,GOSHEN,3337413691,Goshen,337413691
79014,CRAIG,3337410259,Craig (TSGT),337410259
60235,MIDPOINT,3337418158,Midpoint,337418158
16122,WINVAI12,3337431420,Vail Generating Station,337431420
16105,VAIL,3337431420,Vail Generating Station,337431420
19053,LIBERTY,3337416759,Liberty,337416759
79072,HESPERUS,3337414625,Hesperus,337414625
11080,HIDALGO,3337414645,Hidalgo,337414645
16121,WINVAI11,3337431420,Vail Generating Station,337431420
16106,VAIL2,3337431420,Vail Generating Station,337431420
16120,SPRVAI14,3337431420,Vail Generating Station,337431420
64891,RBFLCSC1,,,
18001,H ALLEN,3337414364,Harry Allen,337414364
