Sub Num,Sub Name,Sub ID,Latitude,Longitude,Nominal kV(max)
337417033,Mint Farm Energy Center LLC,3337417033,46.14,-122.99,230
337417034,Longview Fibre Co.,3337417034,46.11,-122.94,13.8
337417045,Lookout Point,3337417045,43.91,-122.75,13.8
337417085,Los Medanos Energy Center,3337417085,38.03,-121.87,18
337417088,Lost Creek,3337417088,42.67,-122.68,13.8
337417152,Lower Baker,3337417152,48.54,-121.73,13.8
337417159,Lower Granite,3337417159,46.65,-117.42,500
337417166,Lower Monumental,3337417166,46.55,-118.54,500
337417212,Lugo,3337417212,34.37,-117.37,500
337417302,Mabton,3337417302,46.2,-119.97,230
337417420,Malaspina,3337417420,49.66,-123.96,500
337417425,Malin,3337417425,42.01,-121.32,500
337417460,Manchief Power Station,3337417460,40.22,-103.68,345
337417462,Mandalay,3337417462,34.21,-119.25,13.8
337417523,Maple Valley,3337417523,47.47,-122.19,500
337417544,March Point Cogeneration Compa,3337417544,48.47,-122.57,230
337417576,Marion,3337417576,44.8,-122.7,500
337417588,Marketplace,3337417588,35.82,-115.01,500
337417639,Martin Creek,3337417639,43.74,-123.12,230
337417690,Massachusetts,3337417690,47.59,-122.34,230
337417718,Maupin,3337417718,45.2,-121.03,230
337417739,Mayfield,3337417739,46.5,-122.59,230
337417809,McCullough,3337417809,35.8,-115.01,500
337417812,McDonald,3337417812,47.15,-119.22,230
337417852,McKinley,3337417852,35.59,-108.82,345
337417859,Mcleese Capacitor Station,3337417859,52.42,-122.28,500
337417861,Mcloughlin,3337417861,45.34,-122.56,500
337417877,McNary,3337417877,45.92,-119.31,500
337417895,Mead,3337417895,35.93,-114.84,500
337417953,Meeker,3337417953,40.01,-107.97,345
337417997,Merchant,3337417997,35.79,-114.99,13.8
337418010,Meridian,3337418010,49.31,-122.81,500
337418030,Merwin,3337418030,45.96,-122.55,13.2
337418040,Mesquite Power,3337418040,33.35,-112.86,500
337418053,Metcalf Energy Center,3337418053,37.22,-121.74,500
337418091,Mica,3337418091,52.05,-118.5,500
337418158,Midpoint,3337418158,42.83,-114.42,500
337418164,Midway,3337418164,38.56,-104.69,345
337418181,Midway Peaker (MIDWAY),3337418181,35.4,-119.45,500
337418183,Midway Sunset Cogen,3337418183,35.23,-119.63,13.8
337418186,Miguel,3337418186,32.68,-116.98,500
337418351,Mira Loma,3337418351,39.43,-119.7,345
337418352,Mira Loma,3337418352,34.01,-117.56,500
337418445,Moenkopi,3337418445,35.83,-111.45,500
337418451,Mohave,3337418451,35.15,-114.6,500
337418472,Mona,3337418472,39.81,-111.91,345
337418498,Monroe,3337418498,39.72,-104.94,500
337418515,Monroe Street,3337418515,47.66,-117.43,13.8
337418594,Montrose,3337418594,38.44,-107.95,345
337418699,Morro Bay,3337418699,35.37,-120.86,18
337418705,Morrow Power Program,3337418705,45.85,-119.66,13.8
337418713,Moscow,3337418713,46.74,-116.94,230
337418723,Moss Landing (DUENNO),3337418723,36.81,-121.78,500
337418728,Mossyrock,3337418728,46.53,-122.43,230
337418791,Moyie,3337418791,48.7,-116.15,115
337418854,Munro BPA System Control Center,3337418854,47.75,-117.38,230
337418877,Murray,3337418877,48.15,-122.08,230
337418950,N. Gila (APS),3337418950,32.75,-114.49,500
337418960,N. Lewiston,3337418960,46.43,-117.03,230
337419028,Naniwa,3337419028,39.56,-119.52,345
337419089,Naughton,3337419089,41.76,-110.6,24
337419093,Navajo (SRP),3337419093,36.9,-111.39,500
337419297,Newman,3337419297,31.98,-106.43,345
337419352,Nicola,3337419352,50.18,-120.38,500
337419363,Nile Creek Terminal,3337419363,49.4,-124.63,500
337419371,Nine Canyon Wind Project,3337419371,46.12,-119.04,0.7
337419372,Nine Mile,3337419372,47.78,-117.55,13.8
337419389,Nixon,3337419389,38.63,-104.71,21
337419516,North Fork,3337419516,45.24,-122.28,13.8
337419547,North Loop,3337419547,32.4,-111.13,345
337419562,North Mountain,3337419562,48.21,-121.93,230
337419610,North Valmy,3337419610,40.82,-117.23,345
337419617,North West,3337419617,36.32,-115.33,500
337419633,Northeast (WWPC),3337419633,47.73,-117.27,13.8
337419682,Norton,3337419682,35.76,-106.11,345
337419718,Noxon Rapids,3337419718,47.96,-115.74,230
337419754,O'Brien,3337419754,47.4,-122.24,230
337419852,Ocotillo Energy Facility,3337419852,33.78,-116.53,500
337419881,Ojo,3337419881,36.11,-106.16,345
337419925,Olinda,3337419925,40.38,-122.38,500
337419946,Olympia,3337419946,47,-122.95,500
337419977,Opal Springs Hydro,3337419977,44.52,-121.21,69
337420044,Ormond Beach,3337420044,34.13,-119.17,26
337420092,Ostrander,3337420092,45.36,-122.41,500
337420100,Otay Mesa,3337420100,32.57,-116.94,16
337420132,Outlook,3337420132,46.38,-120.08,230
337420266,Palo Verde,3337420266,33.39,-112.86,500
337420273,Pamona Heights,3337420273,46.62,-120.47,230
337420295,Panoche (Los Banos Peaker),3337420295,37.05,-121.02,500
337420356,Parkdale,3337420356,45.53,-121.56,230
337420435,Paul,3337420435,46.75,-122.87,500
337420447,Pawnee,3337420447,40.22,-103.68,345
337420473,Peace Canyon,3337420473,55.98,-121.99,500
337420488,Pearl,3337420488,47.27,-122.52,500
337420504,PEC Headworks,3337420504,46.98,-119.26,115
337420530,Pelton,3337420530,44.69,-121.23,230
337420531,Pelton Re-Regulation,3337420531,44.72,-121.25,6.9
337420609,Perkins,3337420609,33.67,-112.44,500
337420757,Pilot Butte,3337420757,43.2,-108.76,230
337420765,Pinal West,3337420765,33,-112.2,500
337420777,Pine Creek,3337420777,47.54,-116.22,230
337420820,Pinnacle Peak (LC),3337420820,33.7,-111.94,345
337420821,Pinnacle Peak APS,3337420821,33.7,-111.94,500
337420825,Pinto,3337420825,37.87,-109.31,345
337420869,Pittsburg (MIR),3337420869,38.04,-121.9,20
337420995,Plummel,3337420995,47.34,-116.87,4.2
337421061,Ponderosa,3337421061,39.56,-104.76,500
337421090,Port Angeles,3337421090,48.1,-123.42,230
337421123,Port Of Washington,3337421123,46.14,-122.94,230
337421167,Post Falls,3337421167,47.71,-116.96,2.4
337421174,Potholes,3337421174,47.11,-119.53,230
337421185,Potrero,3337421185,37.76,-122.39,180.5
337421263,Preacher Canyon,3337421263,34.28,-111.16,345
337421271,Presidente Juarez (Rosarito),3337421271,32.37,-117.07,21
337421284,Priest Rapids,3337421284,46.65,-119.91,230
337421332,Prospect 1,3337421332,42.72,-122.52,6.6
337421334,Prospect 3,3337421334,42.71,-122.37,6.6
337421462,Quincy Chute,3337421462,47.16,-119.89,115
337421603,Rattlesnake Switchyard,3337421603,46.92,-113.97,230
337421613,Raver,3337421613,47.34,-121.93,500
337421614,Rawhide,3337421614,40.86,-105.02,24
337421661,Red Butte,3337421661,37.42,-113.64,345
337421699,Redhawk 1 & 2,3337421699,33.33,-112.84,500
337421788,Reston,3337421788,43.18,-123.56,230
337421795,Revelstoke,3337421795,50.98,-118.18,500
337421895,Rifle Generating Station,3337421895,39.52,-107.73,345
337421907,Rinaldi,3337421907,34.28,-118.48,500
337421916,Ringold,3337421916,46.51,-119.13,115
337421945,Rio Puerco,3337421945,35.33,-106.86,345
337421977,River Mill,3337421977,45.3,-122.35,11
337421994,Rivergate,3337421994,45.61,-122.77,230
337422131,Rock Island Powerhouse,3337422131,47.35,-120.09,13.8
337422176,Rocky Ford,3337422176,38.05,-103.72,230
337422182,Rocky Mountain Energy Center,3337422182,40.09,-104.6,23
337422187,Rocky Reach,3337422187,47.53,-120.29,345
337422206,Rogue,3337422206,42.48,-124.4,230
337422261,Rosedale,3337422261,35.39,-119.07,360
337422285,J.D. Ross,3337422285,45.66,-122.66,345
337422288,Ross Dam,3337422288,48.73,-121.07,230
337422305,Round Butte,3337422305,44.61,-121.28,500
337422310,Round Mountain,3337422310,40.81,-121.94,500
337422319,Roundup,3337422319,45.64,-118.75,230
337422351,Roza,3337422351,46.62,-120.48,6.6
337422359,Rudd,3337422359,33.41,-112.32,500
337422524,Sacajawea,3337422524,46.24,-118.89,500
337422525,Sacheen,3337422525,48.18,-117.28,230
