Bus Number,Bus Name,Sub ID,Sub Name
44089,JDA PH4,3337415584,John Day Ph
44122,MCN PH1,3337417877,McNary
44123,MCN PH2,3337417877,McNary
44124,MCN PH3,3337417877,McNary
44125,MCN PH34,3337417877,McNary
44126,MCN PH4,3337417877,McNary
44127,MCN PH5,3337417877,McNary
44162,CHJ PH1,3337409315,Chief Joseph
44163,CHJ PH2,3337409315,Chief Joseph
44164,CHJ PH3,3337409315,Chief Joseph
44165,CHJ PH4,3337409315,Chief Joseph
44166,CHJ PH5,3337409315,Chief Joseph
44167,CHJ PH6,3337409315,Chief Joseph
44200,LIB PH1,3337416751,Libby - PACIF
44201,LIB PH2,3337416751,Libby - PACIF
44211,LGS 0102,3337416876,Little Goose Ph
44212,LGS 0304,3337416876,Little Goose Ph
44217,LGS PH1,3337416876,Little Goose Ph
44231,LWG 0102,3337417159,Lower Granite
44232,LWG 0304,3337417159,Lower Granite
44237,LWG PH1,3337417159,Lower Granite
44251,LMN 0102,3337417166,Lower Monumental
44252,LMN 0304,3337417166,Lower Monumental
44257,LMN PH1,3337417166,Lower Monumental
44276,BETTASRD,3337416063,Kittitas Valley Wind Power Project
44284,LONGHORN,,
44285,LONGHORN,,
44286,JRDNB TP,,
44287,JRDNB 1,,
44856,FPL2HT,3337424189,Stateline Wind Project - Washington
44860,MARENGO2,3349561030,Marengo Wind Project
44894,WHTSTNE,,
44900,DIXNV230,3337411001,Dixonville
44911,MARENGO,3349561030,Marengo Wind Project
44912,TALBOT,3349561030,Marengo Wind Project
44995,NICKLMTN,3337414255,Hanna
44996,HANNATAP,3337414255,Hanna
45025,BOYLE,3337415400,J.C. Boyle
45029,BURNS,3337408315,Burns
45030,BURSUM11,3337408315,Burns
45031,CALAPOYA,3337408462,Calapooya
45035,CAPTJACK,3337408690,Captain Jack
45040,CAPPON11,3337408690,Captain Jack
45041,CAPPON12,3337408690,Captain Jack
45042,CAPPON13,3337408690,Captain Jack
45043,CAPPON14,3337408690,Captain Jack
