Sub ID,Sub Name,Bus Number,Bus Name,Area Name,Nom kV
3337432684,Windishar,41155,CASCADSTL,NORTHWEST,230
3337430120,Newberg,41156,CASCAS11,NORTHWEST,230
3337424647,Swift,41161,WOODLAND,NORTHWEST,230
3352750245,Wren,41165,WREN,NORTHWEST,230
3337418854,Munro BPA System Control Center,41275,WESTBPA1,NORTHWEST,230
3337418854,Munro BPA System Control Center,41276,WESTBPA2,NORTHWEST,230
32000255,Sulphur,41291,WINECTRY,NORTHWEST,230
3337408977,Celilo Dc Converter Station,41311,CELILO1,NORTHWEST,500
3337408977,Celilo Dc Converter Station,41312,CELILO2,NORTHWEST,500
3337408977,Celilo Dc Converter Station,41313,CELILO3,NORTHWEST,230
3337408977,Celilo Dc Converter Station,41314,CELILO4,NORTHWEST,230
30004107,Marcola,41321,MARC SW2,NORTHWEST,230
3337423568,Snohomish,41327,SNOH S1,NORTHWEST,230
3337423568,Snohomish,41328,SNOH S2,NORTHWEST,230
3337423568,Snohomish,41329,SNOH S3,NORTHWEST,230
3337423568,Snohomish,41330,SNOH S4,NORTHWEST,230
3337407430,Big Eddy,41341,BIGEDDY1,NORTHWEST,230
3337407430,Big Eddy,41342,BIGEDDY2,NORTHWEST,230
3337407430,Big Eddy,41343,BIGEDDY3,NORTHWEST,230
3337407430,Big Eddy,41344,BIGCEL31,NORTHWEST,230
3337407430,Big Eddy,41345,BIGCHE11,NORTHWEST,230
3337418164,Midway,41346,MIDWAYB1,NORTHWEST,230
3337418164,Midway,41347,MIDWAYB2,NORTHWEST,230
3337418164,Midway,41348,MIDWAYB3,NORTHWEST,230
3337407430,Big Eddy,41349,BIGCHE12,NORTHWEST,230
3337407430,Big Eddy,41350,BIGCEL41,NORTHWEST,230
3337417877,McNary,41351,MCNRY S1,NORTHWEST,230
3337417877,McNary,41352,MCNRY S2,NORTHWEST,230
3337417877,McNary,41353,MCNRY S3,NORTHWEST,230
3337413746,Grand Coulee,41356,COULEES1,NORTHWEST,230
3337413746,Grand Coulee,41357,COULEES2,NORTHWEST,230
3337413746,Grand Coulee,41358,COULEES3,NORTHWEST,230
3337407193,Bell,41359,BELCOU51,NORTHWEST,230
32008950,Rock Creek,41401,ROCK CK,NORTHWEST,500
32008950,Rock Creek,41402,ROCK CK,NORTHWEST,230
Found on WECC map,Knight,41450,KNIGHT,NORTHWEST,500
Found on WECC map,Knight,41451,OSTKNI11,NORTHWEST,500
Found on WECC map,Knight,41452,OSTKNI12,NORTHWEST,500
3337413746,Grand Coulee,41739,COULEE19,NORTHWEST,500
3337413746,Grand Coulee,41740,COULEE20,NORTHWEST,500
3337413746,Grand Coulee,41741,COULEE21,NORTHWEST,500
3337413746,Grand Coulee,41742,COULEE22,NORTHWEST,500
3337413746,Grand Coulee,41743,COULEE23,NORTHWEST,500
3337413746,Grand Coulee,41744,COULEE24,NORTHWEST,500
3337413746,Grand Coulee,41751,COUL0105,NORTHWEST,230
3337413746,Grand Coulee,41752,COUL0609,NORTHWEST,230
3337413746,Grand Coulee,41753,COUL1013,NORTHWEST,230
3337413746,Grand Coulee,41754,COUL1418,NORTHWEST,230
3337423057,Sedro Woolley,42100,SEDRO,NORTHWEST,230
3337423057,Sedro Woolley,42102,SEDBEL11,NORTHWEST,230
3337423057,Sedro Woolley,42103,SEDRO NT,NORTHWEST,230
3337417544,March Point Cogeneration Compa,42104,MARCH PT,NORTHWEST,230
3337412666,Fredonia (PSPL),42113,FREDONIA,NORTHWEST,230
3337422702,Sammamish,42300,SAMMAMSH,NORTHWEST,230
30004496,Novelty,42304,NOVELTY,NORTHWEST,230
30004496,Novelty,42306,MONNOV11,NORTHWEST,230
3337408843,Cascade,42312,CASCADEP,NORTHWEST,230
3337422702,Sammamish,42318,SAMMSH W,NORTHWEST,230
3337422702,Sammamish,42319,SAMMSH E,NORTHWEST,230
30004298,Horseranch,42320,HORSRNCH,NORTHWEST,230
30004298,Horseranch,42321,HRNCHTAP,NORTHWEST,230
30004298,Horseranch,42324,HORHRT11,NORTHWEST,230
32008920,Wind Ridge,42361,WIND RDG,NORTHWEST,230
3337432576,Wild Horse Project,42363,WLD HORS,NORTHWEST,230
Found Road,Poison Spring,42373,POISN SP,NORTHWEST,230
Found Coulee,Schnebly,42374,SCHNEBLY,NORTHWEST,230
30004132,Klahanie,42412,KLAHANIE,NORTHWEST,230
30004132,Klahanie,42417,KLASAM11,NORTHWEST,230
3337424742,Talbot,42500,TALBOT N,NORTHWEST,230
3337424742,Talbot,42501,TALBOT S,NORTHWEST,230
3337419754,O'Brien,42503,OBRIEN,NORTHWEST,230
3337409381,Christopher,42505,CHRISTOP,NORTHWEST,230
3353097805,Berrydale,42507,BERYDALE,NORTHWEST,230
30004129,Baldi,42568,BALDI,NORTHWEST,230
3337432490,White River (PSPL),42700,WHITE RV,NORTHWEST,230
3337424717,Tacoma,42703,S TWHI11,NORTHWEST,230
,,42802,ST CLAIR,NORTHWEST,230
,,42811,OLYST 11,NORTHWEST,230
,,42812,S TST 11,NORTHWEST,230
3337423685,South Bremerton,42900,S.BREM,NORTHWEST,230
3337423244,Shelton,42903,S.BSHE11,NORTHWEST,230
Found Sub,Phalen Gulcn,42987,PHALEN G,NORTHWEST,230
Found Junction Town,Dodge Junction,42991,DODGE JN,NORTHWEST,230
3337407116,Beaver,43017,BEAVER,NORTHWEST,13.8
3337407116,Beaver,43021,BEAVER,NORTHWEST,230
3337407368,Bethel (PGE),43039,BETHEL,NORTHWEST,230
3337422861,Santiam,43040,BETSAN11,NORTHWEST,230
3337407727,Boardman (PGE),43047,BOARD F,NORTHWEST,24
3337407727,Boardman (PGE),43049,BOARD F,NORTHWEST,500
3337408830,Carver,43089,CARVER,NORTHWEST,230
3337410234,Coyote Springs,43123,COYOTE,NORTHWEST,500
3337414013,Gresham,43215,GRESHAM,NORTHWEST,230
3352750170,Harorton,43229,HARBORTN,NORTHWEST,230
30004005,Linneman,43291,LINNEMAN,NORTHWEST,230
3337417861,Mcloughlin,43313,MCLOUGLN,NORTHWEST,230
3337417861,Mcloughlin,43314,MCLOUGE5,NORTHWEST,230
3337407430,Big Eddy,43317,BIGMCL11,NORTHWEST,230
3337407430,Big Eddy,43320,BIGMCL12,NORTHWEST,230
3337417861,Mcloughlin,43322,BIGMCL13,NORTHWEST,230
30004008,Monitor,43329,MONITOR,NORTHWEST,230
3352750182,Murryhill,43348,MURRAY H,NORTHWEST,230
3337420530,Pelton,43409,PELTON,NORTHWEST,230
3337421994,Rivergate,43459,RIVRGATE,NORTHWEST,230
3337422305,Round Butte,43482,ROUNDB S,NORTHWEST,230
3337422305,Round Butte,43483,ROUNDB N,NORTHWEST,230
3337422305,Round Butte,43485,ROUND BU,NORTHWEST,500
3337423288,Sherwood,43527,SHERWOOD,NORTHWEST,230
3337420488,Pearl,43528,PEASHE11,NORTHWEST,230
3337420488,Pearl,43530,PEASHE12,NORTHWEST,230
3337424093,St. Marys,43541,ST MARYS,NORTHWEST,230
3337429314,Trojan,43597,TROJAN,NORTHWEST,230
3337429314,Trojan,43599,TROJAN 1,NORTHWEST,230
25000149,Springville,43600,SPRNGVIL,NORTHWEST,230
3337429314,Trojan,43601,TROJAN 2,NORTHWEST,230
30004006,Blue Lake,43685,BLUELAKE,NORTHWEST,230
3352750211,Sunset,43740,HORIZN,NORTHWEST,230
3337420488,Pearl,43773,PEARL #,NORTHWEST,230
3337421123,Port Of Washington,43905,PORTW G1,NORTHWEST,18
3337421123,Port Of Washington,43909,PORTW,NORTHWEST,230
3337407786,Bonneville,44014,BON PH1,NORTHWEST,230
3337407786,Bonneville,44015,BON PH2,NORTHWEST,230
3337407786,Bonneville,44016,BON PH3,NORTHWEST,230
3337407786,Bonneville,44017,BON PH4,NORTHWEST,230
3337428918,The Dalles Ph,44057,TDA PH3,NORTHWEST,230
3337428918,The Dalles Ph,44058,TDA PH4,NORTHWEST,230
3337428918,The Dalles Ph,44059,TDA PH5,NORTHWEST,230
3337428918,The Dalles Ph,44060,TDA PH6,NORTHWEST,230
3337415584,John Day Ph,44071,JDA 0102,NORTHWEST,13.8
3337415584,John Day Ph,44072,JDA 0304,NORTHWEST,13.8
3337415584,John Day Ph,44073,JDA 0506,NORTHWEST,13.8
3337415584,John Day Ph,44074,JDA 0708,NORTHWEST,13.8
3337415584,John Day Ph,44075,JDA 0910,NORTHWEST,13.8
